"scenario","sex","normalization","calibration","age_group","N","mean_z","mean_ci_low","mean_ci_high","sd_z","p10","p5","p10_events","p5_events"
"US_heldout","Male","BCT","Location_scale","20-39",886,0.254067658917297,0.171299130916353,0.336836186918241,1.00185288136914,6.6583579156821,3.10543971925083,70,31
"US_heldout","Male","BCT","Location_scale","40-59",848,-0.0286762845839486,-0.122142821624424,0.0647902524565271,0.926742896830618,8.79712530834508,4.85618131072948,82,42
"US_heldout","Male","BCT","Location_scale","60-79",637,-0.113518237484842,-0.226920493978971,-0.000115980990712181,0.964854325775592,12.7971364450369,5.96438123765702,102,62
"US_heldout","Male","Height2","Frozen","20-39",886,0.844715007192971,0.749860342482494,0.939569671903448,1.18783081565896,3.37751653033923,1.90283830947864,33,16
"US_heldout","Male","Height2","Frozen","40-59",848,0.386623793187315,0.274091748497251,0.49915583787738,1.02136974573587,4.24161864477711,2.6044761270488,37,21
"US_heldout","Male","Height2","Frozen","60-79",637,0.287956121775576,0.180465819754884,0.395446423796268,0.963677068927617,5.56217527277126,3.79736590290762,54,37
"US_heldout","Male","Height2","Location_scale","20-39",886,0.326995722551037,0.242743222543445,0.411248222558629,1.05506372418046,4.74134170286643,2.71103554143073,50,26
"US_heldout","Male","Height2","Location_scale","40-59",848,-0.0798933864800591,-0.179847417470976,0.0200606445108575,0.907208462261963,8.86897115251396,4.10360472604996,75,34
"US_heldout","Male","Height2","Location_scale","60-79",637,-0.167532703025432,-0.263008520682443,-0.0720568853684203,0.855964253365522,8.84707158059505,5.22303240624021,79,52
"US_heldout","Male","Allometry_ageadj","Frozen","20-39",886,0.891205942433458,0.794139572937204,0.988272311929711,1.21303006583484,3.39713219301274,1.61180672789381,33,16
"US_heldout","Male","Allometry_ageadj","Frozen","40-59",848,0.499159647154407,0.393596961538164,0.604722332770649,1.02210732815547,3.90320822203745,2.34542400928864,32,21
"US_heldout","Male","Allometry_ageadj","Frozen","60-79",637,0.438476067446994,0.323967163398866,0.552984971495122,0.994591799248081,4.96229287386102,2.40657837001696,52,32
"US_heldout","Male","Allometry_ageadj","Location_scale","20-39",886,0.280515634425996,0.195382614464477,0.365648654387515,1.06390002371137,6.14190667820153,3.39713219301274,63,33
"US_heldout","Male","Allometry_ageadj","Location_scale","40-59",848,-0.0633324486437993,-0.155917246740179,0.0292523494525803,0.896449347207052,8.135802485825,3.60620111942174,74,30
"US_heldout","Male","Allometry_ageadj","Location_scale","60-79",637,-0.116555582767169,-0.216986750273411,-0.0161244152609267,0.872316580277773,7.02312275049699,4.96229287386102,77,52
