"sex","normalization","calibration","race","N","raw_mean_z","adjusted_mean_z","SE","ci_low","ci_high","adjustment_change","target_N","residual_df"
"Male","BCT","Location_scale","Other / multiracial",77,-0.0118897628780253,-0.0975058823529004,0.158219411324259,-0.536793392471416,0.341781627765615,-0.0856161194748751,2371,4
"Male","Height2","Frozen","Non-Hispanic Asian",269,0.274113458243153,0.163362515156274,0.0791899199859996,-0.0565039505698594,0.383228980882408,-0.110750943086879,2371,4
"Male","Height2","Frozen","Non-Hispanic White",984,0.533727530828321,0.585378062527193,0.0619180282584644,0.41346605604548,0.757290069008905,0.0516505316988718,2371,4
"Male","Height2","Frozen","Non-Hispanic Black",512,0.731723731849603,0.719978897368119,0.0614426791301453,0.549386671646989,0.89057112308925,-0.0117448344814841,2371,4
"Male","Height2","Frozen","Hispanic",529,0.565343724189945,0.414139147376937,0.0686624502935757,0.223501623348452,0.604776671405423,-0.151204576813008,2371,4
"Male","Height2","Frozen","Other / multiracial",77,0.488980681092808,0.368220989661423,0.172871270139765,-0.111746602147453,0.8481885814703,-0.120759691431385,2371,4
"Male","Height2","Location_scale","Non-Hispanic Asian",269,-0.179828134282612,-0.27820014225659,0.0703386465450735,-0.473491533162897,-0.0829087513502833,-0.098372007973978,2371,4
"Male","Height2","Location_scale","Non-Hispanic White",984,0.0507681650055231,0.096645575838547,0.0549972812854216,-0.0560513565855479,0.249342508262642,0.0458774108330239,2371,4
"Male","Height2","Location_scale","Non-Hispanic Black",512,0.226633790370032,0.216201708086459,0.0545750632262512,0.0646770409260735,0.367726375246844,-0.0104320822835729,2371,4
"Male","Height2","Location_scale","Hispanic",529,0.078850530164588,-0.0554534985088569,0.0609878608662863,-0.224782946287542,0.113875949269828,-0.134304028673445,2371,4
"Male","Height2","Location_scale","Other / multiracial",77,0.0110227927648621,-0.0962392584404684,0.15354897656556,-0.522559562834048,0.330081045953111,-0.10726205120533,2371,4
"Male","Allometry_ageadj","Frozen","Non-Hispanic Asian",269,0.238170786785117,0.253992808324982,0.0809669164135621,0.0291926095655886,0.478793007084375,0.0158220215398654,2371,4
"Male","Allometry_ageadj","Frozen","Non-Hispanic White",984,0.662573513325378,0.680184764492605,0.0629376663253579,0.505441788890993,0.854927740094217,0.0176112511672268,2371,4
"Male","Allometry_ageadj","Frozen","Non-Hispanic Black",512,0.843858633281413,0.819928668865067,0.0632192110041928,0.64440399991801,0.995453337812125,-0.0239299644163458,2371,4
"Male","Allometry_ageadj","Frozen","Hispanic",529,0.548284412648414,0.506916099515343,0.0700073444692667,0.312544550635752,0.701287648394934,-0.0413683131330715,2371,4
"Male","Allometry_ageadj","Frozen","Other / multiracial",77,0.571019611058115,0.463212523904856,0.176115134627426,-0.0257614795827125,0.952186527392425,-0.107807087153259,2371,4
"Male","Allometry_ageadj","Location_scale","Non-Hispanic Asian",269,-0.292235311446457,-0.27835845087595,0.0710128353108387,-0.475521689880945,-0.0811952118709545,0.0138768605705079,2371,4
"Male","Allometry_ageadj","Location_scale","Non-Hispanic White",984,0.0799912998689061,0.0954374219907879,0.0552001030986845,-0.0578226340639684,0.248697478045544,0.0154461221218817,2371,4
"Male","Allometry_ageadj","Location_scale","Non-Hispanic Black",512,0.238989208372523,0.218001196263819,0.0554470346454969,0.0640555483245969,0.371946844203042,-0.020988012108704,2371,4
"Male","Allometry_ageadj","Location_scale","Hispanic",529,-0.020247086915423,-0.0565295753407075,0.0614006342782312,-0.227005065838542,0.113945915157127,-0.0362824884252845,2371,4
"Male","Allometry_ageadj","Location_scale","Other / multiracial",77,-0.000306956156573061,-0.0948602288321921,0.154463521707598,-0.523719717608867,0.333999259944483,-0.094553272675619,2371,4
