"sex","candidate","repeat_id","n","mean_z","sd_z","median_z","slope_per10cm","weighted_correlation","p5","p10","skewness","excess_kurtosis","tail_loss","sd_min","sd_max","sd_range","p5_drift_pp","p10_drift_pp","p5_range_pp","p10_range_pp","guardrail","clipped","mean_nll"
"Male","BCCG_M1_S2",2,6742,-0.000538629427240886,1.00656469673651,-0.0163404071862309,0.000998965015002633,0.000651209504350908,0.0471245713143254,0.0936729692976179,0.0526006398817689,0.808477218428712,0.00128677607939952,0.986735206578264,1.04072274274786,0.0539875361695954,-0.282775469067367,-0.305632809008262,1.8420137004975,3.1385860810757,TRUE,0,3.27447673183038
"Male","BCT_M1_S0",1,6742,0.00120374580003279,1.00358460752311,-0.00907030145352994,0.0209938319268813,0.013726185698236,0.0482984349620917,0.0998857440870109,0.00593759027089926,0.0208892364458246,0.00169802797736549,0.967408298229625,1.03085423413147,0.0634459359018499,0.918151429170892,0.237609703853768,2.70430217849753,3.34075768723373,TRUE,0,3.27177154011393
"Male","BCT_M1_S0",2,6742,0.000603686225507254,1.00279223674829,-0.00901057697231513,0.020594627136157,0.0134758173550128,0.0490907363858209,0.0987620932230969,0.00176003884770354,0.0273239432410568,0.00154852743079079,0.967083094399104,1.03178834349957,0.0647052491004672,0.847776168113398,0.840530576989465,2.69768758477963,2.74704221615013,TRUE,0,3.27077060093502
"Male","BCT_M1_S1",1,6742,0.000980005735578232,1.00538921778696,-0.00799537691621848,0.0120065689673021,0.00783604357303692,0.0501397360034317,0.100878386301428,0.00472607055469437,0.0364940139904553,0.000944051099426002,0.988652310690069,1.03485019595475,0.0461978852646834,0.309960463413737,0.0261248184041815,2.12571633398545,2.56058841707785,TRUE,0,3.27190996185297
"Male","BCT_M1_S1",2,6742,0.000266024326105173,1.00444918721936,-0.0123154676323794,0.0115466268978201,0.00754291661841429,0.0485575304319348,0.0999929287360938,0.00191581583865975,0.0455503941742403,0.000979104639129489,0.987420864986309,1.03212699393035,0.0447061289440436,0.00603150883406525,-0.425775733616036,2.14349840655322,2.63540089377099,TRUE,0,3.27068494662481
"Male","BCT_M1_S2",1,6742,0.000991558437964147,1.00544749791391,-0.0108593195790117,0.00994804779488227,0.0064921808789771,0.0483325501562989,0.100762386281814,0.00453454119053858,0.0434712142188372,0.000854696290162259,0.985781497263803,1.0383561183645,0.0525746211006975,-0.0810921601091523,-0.258809439175593,1.87694310774456,2.74042723027733,TRUE,0,3.26914225469218
"Male","BCT_M1_S2",2,6742,-1.14285901193753e-05,1.00497677526198,-0.0113002288120509,0.00918364502121849,0.00599613232910191,0.0496350259155375,0.101016771065267,0.0037710085074818,0.0512481210401901,0.000895142893580025,0.984613037084072,1.03578628811144,0.0511732510273674,-0.370282579911069,-0.752460506766854,1.94168371360289,2.30139512087881,TRUE,0,3.2683974699644
"Male","Absolute",1,6742,0.000283723403787302,1.00308357704685,0.000569499774436538,0.38989286111172,0.255047052657775,0.0462136369152768,0.0978142053132711,-0.00334083738391547,0.924953173256976,0.0116587226351281,0.9118328867794,1.06213902958694,0.150306142807536,5.10767126742714,9.12044131935492,5.10767126742714,9.27509941721196,FALSE,0,3.32581798380182
"Male","Absolute",2,6742,-0.000192723835025922,1.00186196583589,-0.00014301851964447,0.38949478852881,0.255097326642447,0.0456383072664908,0.0975086511451743,-0.00821086955982492,0.913841622313802,0.0119844977215995,0.911569567256659,1.06030342233898,0.148733855082316,5.39836986331765,8.93341134277174,5.39836986331765,9.27264221757314,FALSE,0,3.32448950788203
"Male","BMI",1,6742,-3.45968108035488e-05,1.00173742867202,-0.00824040910583489,0.317310744674412,0.207846647137639,0.0460351243349267,0.0968934411477315,0.0349517120201305,0.472712964018001,0.00464553281448932,0.911143807626808,1.05860540223623,0.147461594609423,3.66972281104225,6.05452107481866,3.66972281104225,6.05452107481866,FALSE,0,0.278620618557723
"Male","BMI",2,6742,-1.43791491429166e-05,1.00123766905483,-0.0103251722100801,0.316543332828525,0.207447466819233,0.0453038796788277,0.0970511980356886,0.0401325838164723,0.464624996132649,0.00502061164951388,0.911128577037571,1.05796750593273,0.146838928895159,3.72285236607317,6.42034994685339,3.72285236607317,6.42034994685339,FALSE,0,0.277970538714612
"Male","Height2",1,6742,0.000342149298353307,1.00335564616441,-0.00649600524084867,-0.169600868727129,-0.110913732189302,0.0483705640505665,0.0939480014415777,-0.0584183266837386,0.758322166959544,0.00446813511870558,0.97416952185323,1.02017340109871,0.0460038792454771,-2.70284229471104,-5.41325495386949,4.09085315998622,5.86334703767929,FALSE,0,2.21010438401057
"Male","Height2",2,6742,-5.70514408150116e-05,1.00239775819916,-0.00847489879195761,-0.170016540755351,-0.111291817423001,0.048332698581688,0.0940616666288584,-0.0633999714669395,0.757021201866263,0.00458470662555157,0.973682138323902,1.01859589585797,0.0449137575340681,-2.65333794636202,-5.80263144326839,3.74147420075714,6.32952634980774,FALSE,0,2.20912630399051
"Male","Allometry",1,6742,0.000622783022045244,1.00378014310469,-0.00525630197882255,-0.195852359117579,-0.128027231054508,0.0484666278431321,0.09464350376697,-0.0528814428103726,0.74312608995414,0.00567271718196696,0.972410234947689,1.02015057523124,0.0477403402835526,-2.96444446073746,-6.62127642892059,4.24647847107772,6.93060410352154,FALSE,0,2.16332088328109
"Male","Allometry",2,6742,-0.000172063106508181,1.00275125579197,-0.0113792883841393,-0.196877500026387,-0.128829409815669,0.0479947789070365,0.0949082316656961,-0.0599377290383864,0.737870306976279,0.00524703744525532,0.971729202875068,1.01820209623304,0.0464728933579724,-3.18774055003475,-6.22505758900946,4.10487079753912,6.60340399856711,FALSE,0,2.16252534600776
"Male","Allometry_ageadj",1,6742,0.000665586351867937,1.00378824640468,0.000865979819565436,-0.0111637948290248,-0.00729763076823749,0.0482830553906052,0.0950442726972795,-0.0730378927700412,0.851413444185193,0.00194560146623175,0.979625972073891,1.02271035006752,0.0430843779936237,-1.143232309129,-1.85055487693848,2.68352444094974,3.82613487509052,TRUE,0,2.49682319849272
"Male","Allometry_ageadj",2,6742,-0.000170145774715206,1.00266944559581,0.00160468834251758,-0.0119503341421638,-0.0078204980780382,0.0490640220288211,0.09474816711123,-0.0795478660240054,0.845563486775789,0.00220272053671813,0.978901095936127,1.02240215334926,0.0435010574131353,-1.03019888360922,-1.86186538584869,3.02479214606605,3.91470750598257,TRUE,0,2.49621702292791
"Female","NO_M1_S0",1,8476,-0.000246225335822889,1.00306755721315,0.0107902933377866,0.000254014384865987,0.000159998771374534,0.0503068694269891,0.0928178716948585,-0.0434931869760501,0.450596365451008,0.00124764600280239,0.960764299662824,1.0971245118553,0.136360212192478,-1.6177207632275,-1.59862525900761,2.43191331566326,2.27390123707685,TRUE,0,2.8826747616076
"Female","NO_M1_S0",2,8476,0.000194713558523464,1.00221351356277,0.00929986669857435,0.000881063960963768,0.000555438146681356,0.0512019526134452,0.0921723845508637,-0.0439570097509445,0.451426458226299,0.00115984053461486,0.95914161901243,1.09577354035649,0.136631921344059,-1.5697722305324,-1.21247307796294,2.34633641293481,1.66394600176954,TRUE,0,2.88197521234841
"Female","NO_M1_S1",1,8476,-0.000227701702033358,1.00327034428752,0.0117966587584505,0.000225771817387032,0.000142180577566286,0.0499150518962579,0.0938026737375887,-0.0577053142357779,0.391393419018206,0.00074055012556319,0.97819781280969,1.01763598011193,0.0394381673022357,0.871425808675519,1.41822103931314,1.45476483936103,2.00404988458802,TRUE,0,2.88022299993703
"Female","NO_M1_S1",2,8476,9.46180109221289e-05,1.00353685167492,0.00990326375550343,-0.00102065898671873,-0.000642592805543121,0.0502408088048576,0.0937259939352059,-0.0583784008738232,0.401084250398334,0.000658277031351778,0.979140900022187,1.02045333391895,0.0413124338967629,0.739943441305348,1.3430539660135,1.4258085011364,1.69981471827563,TRUE,0,2.88032498959013
"Female","NO_M1_S2",1,8476,-0.000175019921913193,1.00375387312905,0.0115360531006443,-0.000163435337207598,-0.000102874384449916,0.0500635776472517,0.0941940817066728,-0.0653473442296615,0.37960866313932,0.000736868938488888,0.977326796789414,1.01905466447341,0.0417278676839985,1.39447262532987,1.47176692158933,1.39447262532987,1.95746279323354,TRUE,0,2.87921654246001
"Female","NO_M1_S2",2,8476,0.00040161186292746,1.00432567443083,0.00991135989675593,-0.000884551215728911,-0.000556463827905934,0.0499730753749094,0.0953241834923413,-0.0638434085625683,0.393731244227729,0.000610012354122677,0.977974899887441,1.02191206708632,0.0439371671988835,0.947541188081286,1.32304944307878,1.33790362126414,1.84278685011888,TRUE,0,2.87961401612394
"Female","BCCG_M1_S0",1,8476,0.00033519816184739,1.00378564476152,-0.00525616388459858,0.0226507739112524,0.0142570799478942,0.0494999157216285,0.091979931529713,0.034963007847386,0.410125267049875,0.00304917325401767,0.950584477528972,1.08655185240565,0.135967374876682,2.43523648040242,4.05995198679851,2.94279721211606,4.19222697427317,TRUE,0,2.88563812235024
"Female","BCCG_M1_S0",2,8476,0.000466935552545613,1.00264923628436,-0.00314047052909478,0.0234420427462496,0.0147718519552298,0.0477926562892221,0.0922169003656347,0.0322984965288871,0.390372580933073,0.00342221104606295,0.949694981608335,1.08513276872736,0.135437787119025,2.90137344380201,3.77082998443351,3.03582354544465,4.38177792310687,TRUE,0,2.88482430208286
"Female","BCCG_M1_S1",1,8476,0.000195357936715325,1.00409144656333,-0.00095608504453736,0.00147627964507583,0.000928931915980145,0.0486825332068973,0.0923763643007002,0.0380446322778965,0.415904357734418,0.000996028740277559,0.981914383962179,1.01911470430115,0.03720032033897,1.14839096920138,1.62223060696983,1.58249372905749,2.1776672717156,TRUE,0,2.8839803428812
"Female","BCCG_M1_S1",2,8476,0.000193897336830841,1.00398138031018,-0.00347938841465332,0.000314400877007672,0.000197854809001215,0.0496936433040112,0.09214319231147,0.0343664405619809,0.400608144975068,0.000812081484838532,0.982592092030661,1.02203045849142,0.0394383664607553,0.5414495918659,1.52387744167848,1.23020000562617,1.72612310049418,TRUE,0,2.88387056186264
"Female","BCCG_M1_S2",1,8476,-0.000138227176173819,1.00457306972191,-0.000209012844798229,2.57474192077366e-05,1.6193498775621e-05,0.0493076865834583,0.0940111794657063,0.0261344393673782,0.364832291229347,0.000794844565987542,0.978724516704069,1.01986475351776,0.0411402368136884,1.33665849888433,1.51966272615309,1.4390929855717,2.04032926838754,TRUE,0,2.87912146016184
"Female","BCCG_M1_S2",2,8476,0.000415068367615022,1.00445581648018,-0.00296966015835037,-0.000542244606921867,-0.000341077384175627,0.0492121839187079,0.0946197622285052,0.0274385675989063,0.355353960752511,0.000627474255877916,0.978889667152576,1.02250937509151,0.0436197079389288,0.896627222760514,1.30964891543208,1.24620115245301,1.93560370820612,TRUE,0,2.87906520039257
"Female","BCT_M1_S0",1,8476,0.00033727465556597,1.00376103510966,0.00191366044735999,0.0274741323653345,0.0172934711489357,0.0505874061204356,0.0963986426935227,0.0112011352931081,0.031260505227261,0.00280713252784954,0.954273359905445,1.08353499680919,0.129261636903749,2.60015843345444,3.69569153588791,3.07879401296755,4.32082545633296,TRUE,0,2.88351621444672
"Female","BCT_M1_S0",2,8476,0.00018553663678102,1.00247446907328,-0.000326254788635993,0.0277778230558252,0.0175070675137177,0.0489259763039296,0.0963998934839251,0.0055415641723654,0.0162783560388569,0.0030223074685036,0.953850501022419,1.0820251588166,0.128174657794176,2.90137344380201,4.00055808676601,2.94462409033293,4.50967984200894,TRUE,0,2.88248499201671
"Female","BCT_M1_S1",1,8476,0.000296913375292331,1.00392759243238,0.00291323657135221,0.00789903235878001,0.00497118611006487,0.0492605372647742,0.0963519384078697,0.0149150438880035,0.0359156440543877,0.000668851789814662,0.982897527428838,1.01963950386455,0.0367419764357141,1.06340308615054,1.45983431582587,1.49079140545226,2.11774610656296,TRUE,0,2.88180762296538
"Female","BCT_M1_S1",2,8476,2.84774096983292e-05,1.00365551925116,-0.0002550404170071,0.00659581724989033,0.00415214448205664,0.0507115850062074,0.0969011252359593,0.00799238889056434,0.0264059150622313,0.000727862850034131,0.983988689946732,1.02127618287787,0.0372874929311415,0.810662833208226,1.89290808941187,1.75010186666626,1.89290808941187,TRUE,0,2.88152526866426
"Female","BCT_M1_S2",1,8476,-0.000174114991335079,1.00447309506553,0.00101333641365916,0.0052443407217498,0.00329868701918787,0.05012649886788,0.0968305139732354,0.00701275378638553,0.031644374951679,0.000664558268811322,0.980505412637962,1.02016352539107,0.0396581127531117,1.44971887071061,1.37521278978536,1.44971887071061,1.93852828808226,TRUE,0,2.87750254761616
"Female","BCT_M1_S2",2,8476,0.000190677873761217,1.00406049061326,0.000877171380292608,0.00447354699841193,0.00281501456670021,0.049650738621604,0.0972300614272585,0.00405338145400374,0.0259587267953805,0.000586793947148542,0.980781685124044,1.02150425499991,0.0407225698758622,0.912385574409863,1.39450791900594,1.30274800759272,2.11811146969686,TRUE,0,2.87721158796093
"Female","BCT_M2_S2",1,8476,-0.000138911252505126,1.00454044148219,0.0014411228875128,0.00575069347687768,0.00361694008082993,0.0500361583487237,0.0969597844600694,0.00690573656367099,0.0317052895964958,0.000691685061480065,0.982045225852059,1.01989904602457,0.0378538201725077,1.49520901226132,1.4052963478396,1.49520901226132,2.0715453272609,TRUE,0,2.87752409931339
"Female","BCT_M2_S2",2,8476,0.000285448885896833,1.00417612888083,0.000541134769047063,0.00462109805922016,0.00290752736828468,0.0499326589860995,0.0969848371513616,0.00359038470754213,0.0253836810118333,0.000620256867296186,0.982584689646193,1.02109743346612,0.0385127438199248,1.02147338672948,1.41872782310631,1.41183581991233,2.14233137379722,TRUE,0,2.87727601295988
"Female","BCT_M3_S2",1,8476,-0.00017704737779831,1.00469123307224,-0.00026109067095689,0.00582174407706533,0.00366107830299684,0.0498836135646451,0.0972373111672478,0.00776624841798289,0.0317812534727722,0.000661856227515009,0.980524078886072,1.02114167552862,0.0406175966425512,1.44971887071061,1.47168470922042,1.56138747850504,1.84482535325345,TRUE,0,2.87772150413095
"Female","BCT_M3_S2",2,8476,0.0003810973354158,1.00447196818664,-0.000519353863263618,0.00470211369342868,0.00295762987708041,0.0498697423735518,0.0970801325516779,0.00483233504833256,0.0268804314340878,0.000591799021692934,0.98074795595081,1.02207711729852,0.0413291613477107,0.912385574409863,1.32027655759294,1.30274800759272,2.04388010828385,TRUE,0,2.87758439914127
"Female","Absolute",1,8476,-0.0002344166966487,1.00231775901734,0.00521667626585063,0.419410246612604,0.264376063376442,0.0471609746780721,0.0948514229843599,0.023061536640646,0.427583546727456,0.0142140687797681,0.932449989990443,1.05651934219901,0.12406935220857,6.71632048787256,10.5937815464097,6.71632048787256,10.5937815464097,FALSE,0,2.93234192938893
"Female","Absolute",2,8476,-0.000321999521386411,1.00136032309738,0.00754248920693185,0.419985001187132,0.264991486722109,0.0461363734672326,0.0949630373119173,0.0234673742342922,0.422982999571487,0.0142350279895003,0.932653672413718,1.05451829893696,0.121864626523245,6.57131174285088,10.7272758371098,6.57131174285088,10.7272758371098,FALSE,0,2.93152516473527
"Female","BMI",1,8476,3.77753036114139e-05,1.00226602021853,-0.0167111213231264,0.441063887197279,0.278039829948646,0.0458874597767766,0.0971587991671161,0.0783972938709015,0.242556320416536,0.0112188380038434,0.875979074298309,1.06373604560393,0.187756971305622,5.38770403295476,10.6566940829474,5.38770403295476,10.6566940829474,FALSE,0,-0.0513594052182989
"Female","BMI",2,8476,-2.82254929366679e-05,1.00090234028466,-0.0177504693132129,0.441374732125848,0.278614864258924,0.0451419325654133,0.0973356905469875,0.0784507674937905,0.236019127497564,0.0113763875208624,0.874263800781413,1.06164869948322,0.187384898701808,5.3391400750133,10.7860846524247,5.3391400750133,10.7860846524247,FALSE,0,-0.0523647329350418
"Female","Height2",1,8476,-0.000217822416339799,1.00210390052747,0.0061948887882818,-0.104221698674845,-0.0657103703657778,0.050919385857168,0.0929670661220763,-0.0590403255233705,0.371636108618738,0.0010732669705537,0.952912801165488,1.07180350318248,0.11889070201699,0.226136461640901,0.491873906869773,1.69620405742326,2.34386211946516,FALSE,0,1.96933327567516
"Female","Height2",2,8476,-0.000192959139555931,1.00122343347649,0.00924169068517063,-0.104061538319984,-0.0656670877496,0.0499673097003321,0.0927287255856847,-0.0594390314047433,0.373532874459405,0.000998134075116601,0.952057616853478,1.07016430466454,0.118106687811067,0.367983652005266,0.83678162791625,1.56570550793178,2.44882488938351,FALSE,0,1.9686894488312
"Female","Allometry",1,8476,-0.000198022518387653,1.00232504188626,0.00754189828836027,-0.13899817615622,-0.0876171336226148,0.0516215746216602,0.0925707961547771,-0.0526920137882944,0.363528115363932,0.00113202942595366,0.948560644492124,1.07854583018869,0.129985185696565,-0.290061235078683,-0.077384332552323,1.81929407372105,2.07198641262456,FALSE,0,1.91353687088444
"Female","Allometry",2,8476,-0.000169490580067646,1.00135004917451,0.0112190985471723,-0.138259282533822,-0.0872362313699455,0.0503556637071734,0.0923395806105077,-0.0532114968136102,0.366953503804821,0.00103683583329682,0.947910474951857,1.07671740136138,0.128806926409524,0.0599928042550497,-0.274395074903101,1.53927329882803,2.21154158589062,FALSE,0,1.91311307639627
"Female","Allometry_ageadj",1,8476,-0.000230853720922879,1.00266735495102,0.0129041660995717,-0.00575474487464133,-0.0036262498157672,0.0507807708247649,0.0929511859637039,-0.068416866012589,0.386411691521226,0.00155889981642714,0.963712809933205,1.05350299348936,0.0897901835561534,1.67390371281791,2.06326879466794,2.43485693691345,2.84808292473339,TRUE,0,2.13217674652196
"Female","Allometry_ageadj",2,8476,-0.000107181742133039,1.00136810247578,0.0133978158271971,-0.00499496997409482,-0.00315157501558012,0.0500502856019791,0.0946921260646215,-0.0684509857472358,0.390854545413793,0.00130610284916907,0.962680104403454,1.05094451817497,0.0882644137715197,1.52922261154122,2.2343413811252,2.0211527717463,2.77874072418809,TRUE,0,2.13097681162312
