"sex","normalization","calibration","race","N","mean_z","mean_ci_low","mean_ci_high","sd_z","p10","p5","p10_events","p5_events","height_slope_per10cm","height_slope_ci_low","height_slope_ci_high","PSU_N","mean_age","mean_height"
"Female","Allometry_ageadj","Location_scale","Non-Hispanic Asian",282,-0.300285167107565,-0.410765083755396,-0.189805250459733,0.909292432374502,13.4636692987915,6.44562830113127,37,16,0.0623691366647026,-0.0742229845542204,0.198961257883626,30,43.7033723699914,156.999148193876
"Female","Allometry_ageadj","Location_scale","Non-Hispanic White",1078,-0.0601691777847401,-0.125855856355771,0.00551750078629055,0.962708357098302,8.65217976786244,4.83053439361238,91,50,0.0554234646934352,-0.0632987059820877,0.174145635368958,30,48.0324919669714,162.976987643414
"Female","Allometry_ageadj","Location_scale","Non-Hispanic Black",519,0.520621647186675,0.391856651182302,0.649386643191049,1.26934028838655,8.94775388393085,4.99411260019304,51,28,0.0370962040410053,-0.253569981020548,0.327762389102559,28,44.1595297280088,163.083367777032
"Female","Allometry_ageadj","Location_scale","Hispanic",572,0.0711194267963799,-0.00668740379231977,0.14892625738508,1.00414512468093,8.26020656250743,4.03584736341859,65,32,0.189221067473059,0.0518682932087383,0.326573841737381,30,40.9860088587862,158.183813485509
"Female","Allometry_ageadj","Location_scale","Other / multiracial",76,0.193905418368151,-0.0749307472644415,0.462741584000743,1.31403624008748,10.3924340119841,5.92485442466922,7,3,0.0833145582683013,-0.477816768163774,0.644445884700377,27,41.2292758555202,163.00306041468
"Male","BCT","Frozen","Non-Hispanic Asian",269,0.225791616701472,0.114594423147731,0.336988810255213,0.998938095622373,5.01485791280087,2.00835727909189,14,6,-0.0204838422713357,-0.26824690393486,0.227279219392189,29,43.5553264477887,170.288715635174
"Male","BCT","Frozen","Non-Hispanic White",984,0.683744674172883,0.566057983283093,0.801431365062674,1.06625698674438,4.06444784374928,2.54644655450564,48,32,0.11454007299104,0.0165191832568191,0.21256096272526,30,47.4719662238577,177.256262696875
"Male","BCT","Frozen","Non-Hispanic Black",512,0.851753118516796,0.73083467933226,0.972671557701332,1.19108951247734,5.04165044492356,2.4856762087043,34,18,0.203256074299061,0.0505013900553651,0.356010758542757,30,43.79097245781,176.804382393854
"Male","BCT","Frozen","Hispanic",529,0.532438229636111,0.413737024165778,0.651139435106445,1.08526374095068,4.47928649259042,2.06807332609173,30,16,0.204745364692573,0.0615389691918235,0.347951760193323,30,39.8757361049141,171.681599592414
"Male","BCT","Frozen","Other / multiracial",77,0.567432046578723,0.183772972076876,0.95109112108057,1.09672660548537,1.63270106100031,1.63270106100031,3,3,0.379180586837024,0.0813887478593963,0.676972425814652,27,39.4939867241422,176.479168991704
"Male","BCT","Location_scale","Non-Hispanic Asian",269,-0.318826077714374,-0.418727769155848,-0.218924386272901,0.897465144655551,15.7627563512823,5.01485791280087,39,14,-0.018403076774935,-0.240998163448068,0.204192009898198,29,43.5553264477887,170.288715635174
"Male","BCT","Location_scale","Non-Hispanic White",984,0.0926077326189547,-0.0131242476972375,0.198339712935147,0.957945727610214,8.34279581779371,4.28693809187354,96,50,0.102904998444088,0.0148411510744677,0.190968845813709,30,47.4719662238577,177.256262696875
"Male","BCT","Location_scale","Non-Hispanic Black",512,0.243549741405316,0.134914296436465,0.352185186374167,1.07009766300602,7.63085651063777,5.30637063196646,48,36,0.182609155584637,0.045371417438142,0.319846893731132,30,43.79097245781,176.804382393854
"Male","BCT","Location_scale","Hispanic",529,-0.0433288791977244,-0.149972318871381,0.0633145604759318,0.975021760137099,9.62512341654806,4.6730517268518,64,32,0.183947162638632,0.0552877902341727,0.312606535043091,30,39.8757361049141,171.681599592414
"Male","BCT","Location_scale","Other / multiracial",77,-0.0118897628780253,-0.356576433959171,0.332796908203121,0.985320217491841,8.55300945191752,1.63270106100031,7,3,0.340663111866054,0.0731212121062002,0.608205011625907,27,39.4939867241422,176.479168991704
"Male","Height2","Frozen","Non-Hispanic Asian",269,0.274113458243153,0.155618964364676,0.39260795212163,1.02434318972816,3.73183577036669,1.66784130221735,11,5,-0.214152024277149,-0.480331392873102,0.0520273443188031,29,43.5553264477887,170.288715635174
"Male","Height2","Frozen","Non-Hispanic White",984,0.533727530828321,0.411790365275757,0.655664696380885,1.08604515783489,4.14265598967866,2.81738387069408,50,34,-0.158257399316188,-0.264429204066193,-0.0520855945661819,30,47.4719662238577,177.256262696875
"Male","Height2","Frozen","Non-Hispanic Black",512,0.731723731849603,0.614040800881582,0.849406662817625,1.21099040191378,4.98754061781735,2.45295101136261,32,17,-0.0700678414940423,-0.222989080970552,0.0828533979824676,30,43.79097245781,176.804382393854
"Male","Height2","Frozen","Hispanic",529,0.565343724189945,0.435682268599139,0.695005179780751,1.11560753161364,4.51041898588735,2.21318266336715,28,15,-0.0173336071268945,-0.174601071841132,0.139933857587343,30,39.8757361049141,171.681599592414
"Male","Height2","Frozen","Other / multiracial",77,0.488980681092808,0.132533876162251,0.845427486023365,1.1039003273058,1.63270106100031,1.63270106100031,3,3,0.120709366418028,-0.202974363111856,0.444393095947911,27,39.4939867241422,176.479168991704
"Male","Height2","Location_scale","Non-Hispanic Asian",269,-0.179828134282612,-0.285078175246526,-0.0745780933186983,0.90984955630565,9.36463377795174,2.56666395370695,24,8,-0.190215668170966,-0.426643442420157,0.0462121060782244,29,43.5553264477887,170.288715635174
"Male","Height2","Location_scale","Non-Hispanic White",984,0.0507681650055231,-0.0575397508255093,0.159076080836556,0.964654927072051,7.0626315608737,3.8849455844194,80,46,-0.140568537960536,-0.234873230384565,-0.0462638455365074,30,47.4719662238577,177.256262696875
"Male","Height2","Location_scale","Non-Hispanic Black",512,0.226633790370032,0.122104601715575,0.331162979024488,1.07563470028444,7.97102998968185,4.68723918732057,49,31,-0.0622361676574111,-0.198064982924232,0.0735926476094099,30,43.79097245781,176.804382393854
"Male","Height2","Location_scale","Hispanic",529,0.078850530164588,-0.0363183107299831,0.194019371059159,0.990913033667243,6.96354537588645,3.65772034097027,46,24,-0.0153961825604237,-0.155085433610687,0.124293068489839,30,39.8757361049141,171.681599592414
"Male","Height2","Location_scale","Other / multiracial",77,0.0110227927648621,-0.305582980148706,0.32762856567843,0.980514375530121,6.27894544755661,1.63270106100031,5,3,0.107217351156036,-0.180287364694399,0.394722067006471,27,39.4939867241422,176.479168991704
"Male","Allometry_ageadj","Frozen","Non-Hispanic Asian",269,0.238170786785117,0.122033155201382,0.354308418368852,1.01034276554851,4.63738833036292,2.21104755694914,13,7,-0.0357883056082585,-0.29677862265877,0.225202011442253,29,43.5553264477887,170.288715635174
"Male","Allometry_ageadj","Frozen","Non-Hispanic White",984,0.662573513325378,0.546422406666841,0.778724619983915,1.09095880989218,3.7169158273144,1.99537194204448,44,28,0.0367661124295812,-0.0695915927744564,0.143123817633619,30,47.4719662238577,177.256262696875
"Male","Allometry_ageadj","Frozen","Non-Hispanic Black",512,0.843858633281413,0.722350101547825,0.965367165015001,1.22376690097671,4.4137908171645,2.50780564042728,29,16,0.131504536645923,-0.0307600284792665,0.293769101771113,30,43.79097245781,176.804382393854
"Male","Allometry_ageadj","Frozen","Hispanic",529,0.548284412648414,0.42643710163937,0.670131723657458,1.12139123358958,4.4776026562762,2.12029209931496,27,15,0.177524327651945,0.018062760716956,0.336985894586934,30,39.8757361049141,171.681599592414
"Male","Allometry_ageadj","Frozen","Other / multiracial",77,0.571019611058115,0.193855521047499,0.948183701068731,1.13389327638716,3.14832760645146,1.63270106100031,4,3,0.327627159933508,0.0114577560881833,0.643796563778834,27,39.4939867241422,176.479168991704
"Male","Allometry_ageadj","Location_scale","Non-Hispanic Asian",269,-0.292235311446457,-0.394094970556128,-0.190375652336787,0.886131121147355,12.414618296196,4.36890479666896,31,12,-0.0313884876043953,-0.260292628003734,0.197515652794944,29,43.5553264477887,170.288715635174
"Male","Allometry_ageadj","Location_scale","Non-Hispanic White",984,0.0799912998689061,-0.0218801776884727,0.181862777426285,0.956836220636967,6.36155336142191,3.56345689915413,76,43,0.0322460827536753,-0.0610359951399069,0.125528160647258,30,47.4719662238577,177.256262696875
"Male","Allometry_ageadj","Location_scale","Non-Hispanic Black",512,0.238989208372523,0.132418948134556,0.345559468610491,1.07331687122715,7.38476215151486,4.4137908171645,47,29,0.115337355269477,-0.0269783873872346,0.257653097926189,30,43.79097245781,176.804382393854
"Male","Allometry_ageadj","Location_scale","Hispanic",529,-0.020247086915423,-0.12711447686958,0.0866203030387342,0.983527279008197,8.06812517184587,4.4776026562762,53,27,0.155699468395505,0.0158421230407314,0.295556813750279,30,39.8757361049141,171.681599592414
"Male","Allometry_ageadj","Location_scale","Other / multiracial",77,-0.000306956156573061,-0.331102453817392,0.330488541504246,0.994492319367388,8.55300945191752,3.14832760645146,7,4,0.287348642905944,0.0100491383661691,0.564648147445719,27,39.4939867241422,176.479168991704
