"height10","z","ci_low","ci_high","height_cm","sex","method"
17.1482352941176,-0.703958802727728,-1.0853387801195,-0.322578825335952,171.482352941176,"Female","Height2"
17.1727731092437,-0.707543656658256,-1.10452581912466,-0.310561494191848,171.727731092437,"Female","Height2"
17.1973109243697,-0.711107716711469,-1.12380453514179,-0.298410898281145,171.973109243697,"Female","Height2"
17.2218487394958,-0.714654448533585,-1.14316246816854,-0.286146428898628,172.218487394958,"Female","Height2"
17.2463865546218,-0.718187317770825,-1.16258735194172,-0.273787283599926,172.463865546218,"Female","Height2"
17.2709243697479,-0.721709790069407,-1.18206709092339,-0.261352489215425,172.709243697479,"Female","Height2"
17.295462184874,-0.725225331075551,-1.20158974061421,-0.248860921536894,172.95462184874,"Female","Height2"
17.32,-0.728737406435475,-1.22114349068332,-0.236331322187632,173.2,"Female","Height2"
14.4,-0.0234896719439367,-0.631482898871144,0.584503554983271,144,"Female","Allometry"
14.4245378151261,-0.0279329721732437,-0.618157434192373,0.562291489845885,144.245378151261,"Female","Allometry"
14.4490756302521,-0.0323799666232545,-0.60485715318636,0.540097219939851,144.490756302521,"Female","Allometry"
14.4736134453782,-0.0368343495146728,-0.591601625325711,0.517932926296366,144.736134453782,"Female","Allometry"
14.4981512605042,-0.041299815068202,-0.578410444120508,0.495810813984104,144.981512605042,"Female","Allometry"
14.5226890756303,-0.0457800575045465,-0.565303229245995,0.473743114236902,145.226890756303,"Female","Allometry"
14.5472268907563,-0.0502787710444099,-0.552299628960923,0.451742086872104,145.472268907563,"Female","Allometry"
14.5717647058824,-0.0547996499084957,-0.539419322852617,0.429820023035625,145.717647058824,"Female","Allometry"
14.5963025210084,-0.0593463883175079,-0.526682024949376,0.40798924831436,145.963025210084,"Female","Allometry"
14.6208403361345,-0.0639226804921501,-0.514107487245602,0.386262126261302,146.208403361345,"Female","Allometry"
14.6453781512605,-0.0685322206531261,-0.501715503689961,0.364651062383708,146.453781512605,"Female","Allometry"
14.6699159663866,-0.0731787030211393,-0.489525914691764,0.343168508649485,146.699159663866,"Female","Allometry"
14.6944537815126,-0.0778658218168941,-0.477558612205148,0.32182696857136,146.944537815126,"Female","Allometry"
14.7189915966387,-0.082597271261094,-0.465833545454022,0.300639002931834,147.189915966387,"Female","Allometry"
14.7435294117647,-0.0873767455744427,-0.45437072736222,0.279617236213334,147.435294117647,"Female","Allometry"
14.7680672268908,-0.092207938977644,-0.44319024175157,0.258774363796282,147.680672268908,"Female","Allometry"
14.7926050420168,-0.0970945456914016,-0.432312251363607,0.238123159980804,147.926050420168,"Female","Allometry"
14.8171428571429,-0.102040259936419,-0.421757006745601,0.217676486872763,148.171428571429,"Female","Allometry"
14.8416806722689,-0.1070487759334,-0.411544856014131,0.197447304147331,148.416806722689,"Female","Allometry"
14.866218487395,-0.112123787903049,-0.401696255463577,0.177448679657478,148.66218487395,"Female","Allometry"
14.890756302521,-0.11726899006607,-0.392231780913656,0.157693800781516,148.90756302521,"Female","Allometry"
14.9152941176471,-0.122488076643165,-0.383172139577183,0.138195986290852,149.152941176471,"Female","Allometry"
14.9398319327731,-0.12778474185504,-0.374538182058642,0.118968698348562,149.398319327731,"Female","Allometry"
14.9643697478992,-0.133162679922397,-0.366350913841364,0.100025553996571,149.643697478992,"Female","Allometry"
